Ligand	Receptor	Score
AATK	PTK2	1
AATK	ITGB4	1
AATK	STK39	1
AATK	CDK5R1	1
AATK	GRB2	1
ABCA1	LDLR	1
ABCA1	SHANK1	1
ABCA1	APOC3	1
ABCA1	JAK2	1
ABCA1	APOA1	1
ABCB1	ABCC1	1
ABCB1	CYP3A4	1
ABCB1	TP53	1
ABCC3	ALB	1
ABCC8	NPPA	1
ABCG1	TMEM132D	1
ACE	AGTR2	7
ACE	BDKRB2	8
ACE	AGT	1
ACE2	SLC6A19	3
ACE2	CCL2	1
ACHE	COX5B	1
ACHE	PNPLA6	1
ACHE	TG	1
ACHE	SUCLA2	1
ACHE	APAF1	1
ACHE	BCHE	1
ACKR1	CCL2	1
ACKR1	CXCL5	1
ACKR1	CCL17	1
ACKR1	CXCL8	1
ACKR1	CCL7	1
ACKR1	CCL5	1
ACKR1	CCL11	1
ACKR1	CCL14	1
ACKR1	CXCL6	1
ACKR1	CXCL11	1
ACKR2	CCL2	2
ACKR2	CCL17	1
ACKR2	CCL13	2
ACKR2	CCL8	2
ACKR2	CCL7	2
ACKR2	CCL4	2
ACKR2	CCL5	2
ACKR2	CCL3	2
ACKR2	CCL11	2
ACKR2	CCL22	1
ACKR2	CCL14	2
ACKR3	CXCL12	1
ACKR3	CXCL11	1
ACKR3	HIC1	1
ACKR3	EGFR	1
ACKR4	CCL19	1
ACKR4	CCL21	1
ACKR4	CCL25	1
ACP3	ERBB2	1
ACP4	ERBB4	1
ACSL3	PTPN11	1
ACSL4	PTK2	1
ACSL4	RPS6KB1	1
ACSS2	RBM39	1
ACVR1	BMP4	1
ACVR1	INHBA	2
ACVR1	INHBC	2
ACVR1	BMP2	2
ACVR1	BMP8	1
ACVR1	BMP5	1
ACVR1	INHBB	2
ACVR1	INHA	1
ACVR1	BMP3	1
ACVR1	BMP7	2
ACVR1	BMP10	1
ACVR1	BMP6	1
ACVR1	BMP15	1
ACVR1	FGD6	1
ACVR1	PLEKHJ1	1
ACVR1	RASL12	1
ACVR1	DNAJB2	1
ACVR1	SKIC8	1
ACVR1	GADD45A	1
ACVR1	OTUD7B	1
ACVR1	STX8	1
ACVR1	USP39	1
ACVR1	AP2B1	1
ACVR1	RAB25	1
ACVR1	DUSP13A	1
ACVR1	RNF14	1
ACVR1	SMAD2	1
ACVR1	SOCS6	1
ACVR1	FKBP4	1
ACVR1	NKIRAS1	1
ACVR1	VEPH1	1
ACVR1	GDF5	1
ACVR1	RASD2	1
ACVR1	RIPK3	1
ACVR1	FBXO30	1
ACVR1	UBE2E3	1
ACVR1	DCAF6	1
ACVR1	TTC17	1
ACVR1	RPS27A	1
ACVR1	TRIM24	1
ACVR1	PLEKHB1	1
ACVR1	RHOD	1
ACVR1	FNTA	1
ACVR1	SQSTM1	1
ACVR1	TGFBR1	1
ACVR1	TTC27	1
ACVR1	RAB6B	1
ACVR1	RPS6KA2	1
ACVR1	CREBBP	1
ACVR1	FGR	1
ACVR1	MDM2	1
ACVR1	SMAD1	1
ACVR1	THRB	1
ACVR1	RAB17	1
ACVR1	NFATC4	1
ACVR1	UBA52	1
ACVR1	CHN1	1
ACVR1	FCHO1	1
ACVR1	IGSF1	1
ACVR1	ETS1	1
ACVR1	ORC1	1
ACVR1	WWP1	1
ACVR1	ENG	1
ACVR1	FANCL	1
ACVR1	RXRA	1
ACVR1	SMAD3	1
ACVR1	SMAD9	1
ACVR1	CDH5	1
ACVR1	RXRG	1
ACVR1	RAP2A	1
ACVR1	RHOJ	1
ACVR1	ZBTB44	1
ACVR1	MCM5	1
ACVR1	E2F3	1
ACVR1	RAB3B	1
ACVR1	RAB33B	1
ACVR1	SMAD5	1
ACVR1	NRAS	1
ACVR1	RHEBL1	1
ACVR1	PLEK	1
ACVR1	VDR	1
ACVR1	RRAS2	1
ACVR1B	INHA	1
ACVR1B	INHBB	2
ACVR1B	INHBA	2
ACVR1B	INHBC	2
ACVR1B	CRIPTO	1
ACVR1B	SNX1	1
ACVR1B	XIAP	1
ACVR1B	UHMK1	1
ACVR1B	MDM4	1
ACVR1B	SMAD3	1
ACVR1B	MAPK8	1
ACVR1B	SNX2	1
ACVR1B	TDP2	1
ACVR1B	SMAD4	1
ACVR1B	SMAD7	1
ACVR1B	MAPK1	1
ACVR1B	SMAD2	1
ACVR1B	IGSF1	1
ACVR1B	TGFBRAP1	1
ACVR1C	CRIPTO	1
ACVR1C	SMAD3	1
ACVR1C	INHBB	1
ACVR1C	SMAD2	1
ACVR1C	ACVRL1	1
ACVR2A	INHBB	1
ACVR2A	GDF9	1
ACVR2A	MAGI2	1
ACVR2A	SYNJ2BP	1
ACVR2A	GDF5	1
ACVR2A	INHBC	1
ACVR2A	GNA12	1
ACVR2A	ACVR1B	1
ACVR2A	SMAD1	1
ACVR2A	BMP6	1
ACVR2A	TGFBR3	1
ACVR2A	INHBA	1
ACVR2A	BMP7	1
ACVR2A	IGSF1	1
ACVR2A	ENG	1
ACVR2A	SMAD9	1
ACVR2A	BMP2	1
ACVR2A	ACVR1	1
ACVR2A	SMAD5	1
ACVR2A	ACVRL1	1
ACVR2B	BMP4	1
ACVR2B	INHBA	2
ACVR2B	INHBC	2
ACVR2B	BMP2	1
ACVR2B	BMP8	1
ACVR2B	BMP5	1
ACVR2B	INHBB	2
ACVR2B	INHA	1
ACVR2B	BMP3	1
ACVR2B	BMP7	2
ACVR2B	BMP10	1
ACVR2B	BMP6	1
ACVR2B	BMP15	1
ACVR2B	BMPR1B	1
ACVR2B	MSTN	1
ACVR2B	ACVRL1	1
ACVR2B	SYNJ2BP	1
ACVR2B	GDF5	1
ACVR2B	SNX1	1
ACVR2B	ACVR1C	1
ACVR2B	SNX2	1
ACVR2B	SNX6	1
ACVR2B	ACVR1B	1
ACVR2B	TRIM26	1
ACVR2B	SMAD1	1
ACVR2B	SRXN1	1
ACVR2B	EGFR	1
ACVR2B	IGSF1	1
ACVR2B	SMAD9	1
ACVR2B	PRKCB	1
ACVR2B	ACVR1	1
ACVR2B	SMAD5	1
ACVR2B	ASAP3	1
ACVR2B	BMPR1A	1
ACVR2B	TGFBRAP1	1
ACVR2B	GDF11	1
ACVRL1	XIAP	1
ACVRL1	TGFB1	1
ACVRL1	SMAD9	1
ACVRL1	ENG	1
ACVRL1	TGFBR1	1
ACVRL1	SNX6	1
ACVRL1	TGFB3	1
ACVRL1	SMAD5	1
ACVRL1	SMAD1	1
ACVRL1	TGFBR2	1
ACVRL1	MGP	1
ACVRL1	TGFBRAP1	1
ADA	DPP4	5
ADA	CDK2	1
ADA	PLG	1
ADA	RB1	1
ADAM10	TSPAN12	4
ADAM10	NOTCH2	4
ADAM10	TREM2	4
ADAM10	TSPAN5	4
ADAM10	TSPAN15	4
ADAM10	EPHA3	8
ADAM10	TSPAN10	4
ADAM10	NOTCH1	5
ADAM10	CD44	4
ADAM10	MET	3
ADAM10	NRCAM	4
ADAM10	IL6R	4
ADAM10	TSPAN17	4
ADAM10	GPNMB	4
ADAM10	CADM1	4
ADAM10	AXL	7
ADAM10	TSPAN14	4
ADAM10	EFNA3	2
ADAM10	ERBB2	1
ADAM10	SLTM	1
ADAM10	CDH1	1
ADAM10	NOTCH3	1
ADAM10	IL18	1
ADAM10	CTNNB1	1
ADAM10	CDH2	1
ADAM10	TAB1	1
ADAM10	JUP	1
ADAM10	DLL1	1
ADAM10	RELA	1
ADAM10	BTC	1
ADAM10	CXCL16	1
ADAM10	CTNNA1	1
ADAM10	EGF	1
ADAM10	NOTCH4	1
ADAM10	APP	1
ADAM10	DTX1	1
ADAM10	CTNND1	1
