Ligand	Receptor	Score
SEMA3F	NRP2	7
SEMA3F	NRP1	8
SEMA3F	PLXNA3	7
SEMA3F	PLXNA1	6
CX3CL1	CX3CR1	12
DCN	MET	7
DCN	EGFR	9
DCN	ERBB4	8
GRN	TNFRSF1B	5
GRN	CLEC4M	4
GRN	EGFR	4
GRN	TNFRSF1A	5
GRN	SORT1	6
UTS2	UTS2R	10
PRLH	PRLHR	11
FGF4	FGFR3	11
FGF4	FGFR1	10
FGF4	FGFR4	11
FGF4	FGFR2	11
FGF4	NRP1	9
ST6GAL1	CD22	6
ST6GAL1	EGFR	4
NTN1	UNC5A	9
NTN1	UNC5B	9
NTN1	ADORA2B	8
NTN1	UNC5D	8
NTN1	DCC	9
NTN1	UNC5C	9
NTN1	NEO1	9
SCT	ADRB3	5
SCT	VIPR2	8
SCT	ADCYAP1R1	5
SCT	ADRB2	5
SCT	TSHR	5
SCT	RAMP2	5
SCT	VIPR1	9
SCT	PTH1R	5
SCT	SCTR	11
SCT	RAMP3	5
SCT	GPR20	5
SCT	GPR84	5
FGF20	FGFR1	7
FGF20	FGFR3	7
FGF20	FGFR2	7
FGF20	FGFR4	9
THPO	MPL	12
FGF22	FGFR1	6
FGF22	FGFR2	9
MIF	CXCR2	5
MIF	CD44	3
MIF	CD74	7
MIF	EGFR	4
MIF	CXCR4	5
OSM	IL6ST	10
OSM	OSMR	10
OSM	LIFR	9
TCN2	CNR1	7
TCN2	LRP2	7
LGALS1	PTPRC	7
LGALS1	ITGB1	6
NID2	COL13A1	7
GZMB	CHRM3	8
GZMB	IGF2R	8
RSPO4	LGR5	8
RSPO4	LGR6	8
RSPO4	LGR4	8
OXT	AVPR1A	8
OXT	AVPR2	8
OXT	AVPR1B	8
OXT	OXTR	11
F9	LRP1	9
PCSK1N	GPR171	4
TIMP1	CD63	8
TIMP1	FGFR2	4
MMP2	FGFR1	4
MMP2	CCR2	4
MMP2	PECAM1	4
MMP2	SDC2	7
CCL22	CCR4	13
CCL22	ACKR2	7
CCL22	DPP4	6
CCL17	CCR4	12
CCL17	ACKR1	7
CCL17	ACKR2	7
CCL17	CCR8	9
TG	TPO	4
TG	ASGR1	8
TG	LRP2	9
SFRP1	FZD2	8
SFRP1	FZD6	8
PLAT	LRP1	8
PLAT	ITGB2	6
PLAT	ITGAM	7
DKK4	LRP6	5
DKK4	LRP5	4
LHB	ADRB3	5
LHB	ADCYAP1R1	5
LHB	ADRB2	5
LHB	TSHR	5
LHB	RAMP2	5
LHB	VIPR1	5
LHB	PTH1R	5
LHB	RAMP3	5
LHB	GPR20	5
LHB	GPR84	5
LHB	LHCGR	11
AMH	AMHR2	10
AMH	EGFR	9
AMH	ACVR1	9
RETN	GPR25	4
EBI3	IL6ST	7
EBI3	IL27RA	9
TGFB1	ITGB6	8
TGFB1	ITGB5	5
TGFB1	SDC2	8
TGFB1	CAV1	7
TGFB1	ENG	9
TGFB1	SMAD3	5
TGFB1	TGFBR1	10
TGFB1	EGFR	4
TGFB1	ITGB1	5
TGFB1	ITGB8	9
TGFB1	TGFBR2	10
TGFB1	ACVRL1	9
